Label,Title,Link,Media,Date,Polarity
0.1779,Genesis Digital Assets announces new data center in Texas,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/genesis-digital-assets-announces-new-data-center-in-texas-2663574,Cointelegraph,"Nov 02, 2021",0.012121212121212116
0.7096,Top U.S. banks offer big incentives to lure crypto talent,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/top-us-banks-offer-big-incentives-to-lure-crypto-talent-2663557,Cointelegraph,"Nov 02, 2021",0.25
0.2023,"Top 5 cryptocurrencies to watch this week: BTC, ETH, BNB, MATIC, FTM",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/top-5-cryptocurrencies-to-watch-this-week-btc-eth-bnb-matic-ftm-2663520,Cointelegraph,"Nov 02, 2021",0.5
0.0,Patreon to explore expansion into crypto realm ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/patreon-to-explore-expansion-into-crypto-realm-2663514,Cointelegraph,"Nov 02, 2021",0.0
0.7003,Sorare CEO shares bold vision on NFTs during Web Summit 2021 opening night,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/sorare-ceo-shares-bold-vision-on-nfts-during-web-summit-2021-opening-night-2663509,Cointelegraph,"Nov 02, 2021",0.3333333333333333
0.0,"Upcoming parachain auctions send Polkadot to new ATH, while CHR and THETA follow",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/upcoming-parachain-auctions-send-polkadot-to-new-ath-while-chr-and-theta-follow-2663501,Cointelegraph,"Nov 02, 2021",0.13636363636363635
0.3818,NFL quarterback Aaron Rodgers will accept part of $22M salary in Bitcoin,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/nfl-quarterback-aaron-rodgers-will-accept-part-of-22m-salary-in-bitcoin-2663494,Cointelegraph,"Nov 02, 2021",0.0
0.4588,The Recording Academy and OneOf announce Grammy Awards partnership,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/the-recording-academy-and-oneof-announce-grammy-awards-partnership-2663486,Cointelegraph,"Nov 02, 2021",0.0
0.34,eNaira slowly gains traction post-launch amidst glitches ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/enaira-slowly-gains-traction-postlaunch-amidst-glitches-2663476,Cointelegraph,"Nov 02, 2021",-0.30000000000000004
-0.0772,US Treasury report says stablecoin legislation is 'urgently needed' to address risks ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/us-treasury-report-says-stablecoin-legislation-is-urgently-needed-to-address-risks-2663471,Cointelegraph,"Nov 02, 2021",0.0
0.2263,Institutional managers bought $2B worth of Bitcoin in October ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/institutional-managers-bought-2b-worth-of-bitcoin-in-october-2663461,Cointelegraph,"Nov 02, 2021",0.3
-0.4767,"Bitcoin Consolidates, Why There Is Risk of Larger Downside Correction",https://invst.ly/wh9ce,News BTC,"Nov 02, 2021",0.0
0.0,"Price analysis 11/1: BTC, ETH, BNB, ADA, SOL, XRP, DOT, SHIB, DOGE, LUNA",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/price-analysis-111-btc-eth-bnb-ada-sol-xrp-dot-shib-doge-luna-2663425,Cointelegraph,"Nov 02, 2021",0.0
0.0,Inside the blockchain developer’s mind: What is a testnet?,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/inside-the-blockchain-developers-mind-what-is-a-testnet-2663271,Cointelegraph,"Nov 02, 2021",0.0
0.0,Alexander Mamasidikov on the Future of MinePLex Following Its First Year,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/alexander-mamasidikov-on-the-future-of-mineplex-following-its-first-year-2663239,CoinQuora,"Nov 02, 2021",0.08333333333333333
0.296,Argentine regulators could join the US to approve a Bitcoin Futures product,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/argentine-regulators-could-join-the-us-to-approve-a-bitcoin-futures-product-2663235,BTC Peers,"Nov 02, 2021",0.0
0.0,Sfermion raises $100M for NFT and metaverse ventures ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/sfermion-raises-100m-for-nft-and-metaverse-ventures-2663231,Cointelegraph,"Nov 02, 2021",0.0
0.0,Litecoin Price Prediction: LTC/USD May Cross Above $200,https://invst.ly/wh8ve,InsideBitcoins,"Nov 02, 2021",0.0
-0.3818,"Bitcoin Price Prediction: BTC/USD Price Battles with $63,000",https://invst.ly/wh8vf,InsideBitcoins,"Nov 02, 2021",0.0
0.4588,Polker lauches NFT Giveaway Competition with Big Prizes as ‘Testnet Game’ Launch Date Nears,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/polker-lauches-nft-giveaway-competition-with-big-prizes-as-testnet-game-launch-date-nears-2663179,CoinQuora,"Nov 02, 2021",-0.2
0.4588,City of Liverpool takes interest in blockchain-powered food delivery platform ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/city-of-liverpool-takes-interest-in-blockchainpowered-food-delivery-platform-2663139,Cointelegraph,"Nov 02, 2021",0.0
0.34,Amazon job posting hints company’s Web Services are preparing to adopt crypto ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/amazon-job-posting-hints-companys-web-services-are-preparing-to-adopt-crypto-2663115,Cointelegraph,"Nov 02, 2021",0.0
0.6597,Trick or Treat: Will Halloween NFTs be hauntingly good or too spooky for crypto?,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/trick-or-treat-will-halloween-nfts-be-hauntingly-good-or-too-spooky-for-crypto-2663106,Cointelegraph,"Nov 02, 2021",0.7
0.0,Crypto: Aaron Rodgers teams with Square in $1 million bitcoin giveaway promotion,https://invst.ly/wh8sd,MarketWatch,"Nov 02, 2021",0.0
-0.1027,Price of BXH DeFi token tanks as exploit drains an estimated $130M,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/price-of-bxh-defi-token-tanks-as-exploit-drains-an-estimated-130m-2663098,BTC Peers,"Nov 02, 2021",0.0
0.0258,"Ethereum shillers call for $5K ETH, and this time derivatives data is backing them up",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/ethereum-shillers-call-for-5k-eth-and-this-time-derivatives-data-is-backing-them-up-2663080,Cointelegraph,"Nov 02, 2021",0.0
0.0,Velas Launches Its First DEX — 40 More Projects in the Pipeline,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/velas-launches-its-first-dex--40-more-projects-in-the-pipeline-2663057,CoinQuora,"Nov 02, 2021",0.375
0.7003,Vitalik Buterin shares positive outlook on the establishment of crypto cities ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/vitalik-buterin-shares-positive-outlook-on-the-establishment-of-crypto-cities-2663052,Cointelegraph,"Nov 02, 2021",0.22727272727272727
0.0,"Law Decoded: Sketching the boundaries of regulatory mandates, Oct. 25 – Nov. 1",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/law-decoded-sketching-the-boundaries-of-regulatory-mandates-oct-25--nov-1-2663027,Cointelegraph,"Nov 02, 2021",0.0
0.296,Beyond the NFT hype: Creating lasting business models for artists,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/beyond-the-nft-hype-creating-lasting-business-models-for-artists-2663011,Cointelegraph,"Nov 02, 2021",0.0
0.34,Crypto​.com is the #1 app in the Google Play Store in the US ,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/cryptocom-is-the-1-app-in-the-google-play-store-in-the-us-2662980,Cointelegraph,"Nov 02, 2021",0.0
0.0,NFT hype isn’t cooling down as Coinbase and FTX only dive deeper,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/nft-hype-isnt-cooling-down-as-coinbase-and-ftx-only-dive-deeper-2662947,Cointelegraph,"Nov 02, 2021",-0.07777777777777779
0.34,"Elon Musk-named memecoin ‘Dogelon Mars’ gains nearly 4,000% in October",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/elon-musknamed-memecoin-dogelon-mars-gains-nearly-4000-in-october-2662934,Cointelegraph,"Nov 02, 2021",0.1
0.0,"KuCoin Presents Its Fiat Account, USD Deposits Now Open",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/kucoin-presents-its-fiat-account-usd-deposits-now-open-2662909,CoinQuora,"Nov 02, 2021",0.0
0.0,Auto dealer rolls out Bitcoin-backed loans for luxury car purchases,https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/auto-dealer-rolls-out-bitcoinbacked-loans-for-luxury-car-purchases-2662905,BTC Peers,"Nov 02, 2021",0.0
